frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp
41,data/frames/game_6/frame_000041.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
42,data/frames/game_6/frame_000042.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
43,data/frames/game_6/frame_000043.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
44,data/frames/game_6/frame_000044.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
45,data/frames/game_6/frame_000045.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
46,data/frames/game_6/frame_000046.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
47,data/frames/game_6/frame_000047.jpg,,,,False,False,False,,,,0.00,,2025-11-13 21:45:30.755446
48,data/frames/game_6/frame_000048.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
49,data/frames/game_6/frame_000049.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
50,data/frames/game_6/frame_000050.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
51,data/frames/game_6/frame_000051.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
52,data/frames/game_6/frame_000052.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
53,data/frames/game_6/frame_000053.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
54,data/frames/game_6/frame_000054.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
55,data/frames/game_6/frame_000055.jpg,00:00,,,False,False,False,00:00,,,0.00,,2025-11-13 21:45:30.755446
56,data/frames/game_6/frame_000056.jpg,,1ST,25,False,False,False,,1ST,25,0.00,,2025-11-13 21:45:30.755446
57,data/frames/game_6/frame_000057.jpg,,1ST,24,False,False,False,,1ST,24,0.00,,2025-11-13 21:45:30.755446
58,data/frames/game_6/frame_000058.jpg,,1ST,24,False,False,False,,1ST,24,0.00,,2025-11-13 21:45:30.755446
59,data/frames/game_6/frame_000059.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
60,data/frames/game_6/frame_000060.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
61,data/frames/game_6/frame_000061.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
62,data/frames/game_6/frame_000062.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
63,data/frames/game_6/frame_000063.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
64,data/frames/game_6/frame_000064.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
65,data/frames/game_6/frame_000065.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
66,data/frames/game_6/frame_000066.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
67,data/frames/game_6/frame_000067.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
68,data/frames/game_6/frame_000068.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
69,data/frames/game_6/frame_000069.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
70,data/frames/game_6/frame_000070.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
71,data/frames/game_6/frame_000071.jpg,,1ST,40,False,False,False,,1ST,40,0.00,,2025-11-13 21:45:30.755446
72,data/frames/game_6/frame_000072.jpg,00:20,1ST,40,True,False,False,,1ST,40,0.70,forward_extrapolation,2025-11-13 21:45:30.755446
