frame_number,frame_path,game_time,period,play_clock,imputed_game_time,imputed_period,imputed_play_clock,original_game_time,original_period,original_play_clock,imputation_confidence,imputation_method,imputation_timestamp,expected_game_time,expected_period,expected_play_clock,matched_game_time,matched_period,matched_play_clock
1290,data/frames/game_6/frame_001290.jpg,11:04,2ND,24.0,False,False,False,11:04,2ND,24.0,0.0,,45:30.8,11:04,2ND,24.0,False,False,False
1291,data/frames/game_6/frame_001291.jpg,11:04,2ND,24.0,False,False,False,11:04,2ND,24.0,0.0,,45:30.8,11:04,2ND,24.0,False,False,False
1292,data/frames/game_6/frame_001292.jpg,11:04,2ND,23.0,False,False,False,11:04,2ND,23.0,0.0,,45:30.8,11:04,2ND,23.0,False,False,False
1293,data/frames/game_6/frame_001293.jpg,11:04,2ND,23.0,False,False,False,11:04,2ND,23.0,0.0,,45:30.8,11:04,2ND,23.0,False,False,False
1294,data/frames/game_6/frame_001294.jpg,11:04,2ND,22.0,False,False,False,11:04,2ND,22.0,0.0,,45:30.8,11:04,2ND,22.0,False,False,False
1295,data/frames/game_6/frame_001295.jpg,11:04,2ND,22.0,False,False,False,11:04,2ND,22.0,0.0,,45:30.8,11:04,2ND,22.0,False,False,False
1296,data/frames/game_6/frame_001296.jpg,11:04,2ND,21.0,False,False,False,11:04,2ND,21.0,0.0,,45:30.8,11:04,2ND,21.0,False,False,False
1297,data/frames/game_6/frame_001297.jpg,11:04,2ND,21.0,False,False,False,11:04,2ND,21.0,0.0,,45:30.8,11:04,2ND,21.0,False,False,False
1298,data/frames/game_6/frame_001298.jpg,11:04,2ND,20.0,False,False,False,11:04,2ND,20.0,0.0,,45:30.8,11:04,2ND,20.0,False,False,False
1299,data/frames/game_6/frame_001299.jpg,11:04,2ND,20.0,False,False,False,11:04,2ND,20.0,0.0,,45:30.8,11:04,2ND,20.0,False,False,False
1300,data/frames/game_6/frame_001300.jpg,11:04,2ND,19.0,False,False,False,11:04,2ND,19.0,0.0,,45:30.8,11:04,2ND,19.0,False,False,False
1301,data/frames/game_6/frame_001301.jpg,11:04,2ND,19.0,False,False,False,11:04,2ND,19.0,0.0,,45:30.8,11:04,2ND,19.0,False,False,False
1302,data/frames/game_6/frame_001302.jpg,11:04,2ND,18.0,False,False,False,11:04,2ND,18.0,0.0,,45:30.8,11:04,2ND,18.0,False,False,False
1303,data/frames/game_6/frame_001303.jpg,11:04,2ND,18.0,False,False,False,11:04,2ND,18.0,0.0,,45:30.8,11:04,2ND,18.0,False,False,False
1304,data/frames/game_6/frame_001304.jpg,11:04,2ND,17.0,False,False,False,11:04,2ND,17.0,0.0,,45:30.8,11:04,2ND,17.0,False,False,False
1305,data/frames/game_6/frame_001305.jpg,11:04,2ND,17.0,False,False,False,11:04,2ND,17.0,0.0,,45:30.8,11:04,2ND,17.0,False,False,False
1306,data/frames/game_6/frame_001306.jpg,11:04,2ND,16.0,False,False,False,11:04,2ND,16.0,0.0,,45:30.8,11:04,2ND,16.0,False,False,False
1307,data/frames/game_6/frame_001307.jpg,11:04,2ND,16.0,False,False,False,11:04,2ND,16.0,0.0,,45:30.8,11:04,2ND,16.0,False,False,False
1308,data/frames/game_6/frame_001308.jpg,11:04,2ND,15.0,False,False,False,11:04,2ND,15.0,0.0,,45:30.8,11:04,2ND,15.0,False,False,False
1309,data/frames/game_6/frame_001309.jpg,11:04,2ND,15.0,False,False,False,11:04,2ND,15.0,0.0,,45:30.8,11:04,2ND,15.0,False,False,False
